Compound,Date,Negative,Neutral,Newsfeed,Positive,Text,Tweets Ago
0.7067,Sun Sep 30 15:02:11 +0000 2018,0.796,0.0,@BBCBreaking,0.204,"RT @5liveSport: That's it!

Mickelson hits the water and concedes to Francesco Molinari!

#TeamEurope have won the #RyderCup !!

🎙️📻https:/…",1
-0.7351,Sun Sep 30 06:52:14 +0000 2018,0.708,0.292,@BBCBreaking,0.0,At least 832 people now known to have died in Indonesian earthquake and tsunami - emergency officials https://t.co/uBzqMfoKLJ,2
0.2732,Sat Sep 29 14:18:39 +0000 2018,0.812,0.066,@BBCBreaking,0.122,Senior Tory MPs have had their personal details exposed due to security flaw in Conservative conference app https://t.co/AF063jzOxD,3
-0.5574,Sat Sep 29 07:33:05 +0000 2018,0.833,0.167,@BBCBreaking,0.0,At least 384 people now known to have died after an earthquake and tsunami hit a coastal Indonesian city https://t.co/IprVdGRuCg,4
0.5574,Fri Sep 28 21:09:09 +0000 2018,0.833,0.0,@BBCBreaking,0.167,US President Donald Trump orders FBI to reopen background inquiry into Supreme Court nominee Brett Kavanaugh over s… https://t.co/ZgqnxO5Gox,5
0.5719,Fri Sep 28 18:04:12 +0000 2018,0.773,0.0,@BBCBreaking,0.227,Brett Kavanaugh's nomination to US Supreme Court backed by Senate committee as discussions continue over FBI inquiry https://t.co/KKe4X2DRQA,6
0.34,Fri Sep 28 17:44:43 +0000 2018,0.902,0.0,@BBCBreaking,0.098,"Facebook says the security flaw has been fixed and it has informed police. In a statement it says ""we have yet to d… https://t.co/naGAXzvkxG",7
0.0,Fri Sep 28 17:08:56 +0000 2018,1.0,0.0,@BBCBreaking,0.0,"50 million Facebook accounts compromised, the social network says - in all, 90m accounts will have to take action https://t.co/GL3MyqXgHF",8
-0.296,Fri Sep 28 15:55:27 +0000 2018,0.872,0.128,@BBCBreaking,0.0,"Officers searching for missing Worcester student Thomas Jones, 18, find a body in the River Severn https://t.co/Zj8Ug65gr0",9
0.0,Fri Sep 28 12:54:18 +0000 2018,1.0,0.0,@BBCBreaking,0.0,Danish police seal off bridges and ferries to Sweden and Germany in a major operation https://t.co/uvVH4ANjHm,10
-0.743,Fri Sep 28 09:46:20 +0000 2018,0.717,0.283,@BBCBreaking,0.0,"Pret a Manger’s allergy labelling was inadequate, says coroner in case of girl who died after eating a baguette https://t.co/93qasWccnJ",11
-0.5859,Thu Sep 27 20:29:32 +0000 2018,0.613,0.283,@BBCBreaking,0.104,Tesla chief executive Elon Musk accused of fraud by the US Securities and Exchange Commission https://t.co/Qf8jtsrv8G,12
0.0352,Thu Sep 27 19:18:04 +0000 2018,0.706,0.144,@BBCBreaking,0.15,"""My family and my name have been totally and permanently destroyed"" - US Supreme Court nominee Brett Kavanaugh reac… https://t.co/bH7othXr2Q",13
0.0258,Thu Sep 27 15:14:06 +0000 2018,0.942,0.0,@BBCBreaking,0.058,"RT @BBCSport: The proposed £600m sale of Wembley Stadium has been unanimously backed by the Football Association's board.

https://t.co/6sX…",14
-0.6395,Thu Sep 27 14:40:05 +0000 2018,0.801,0.199,@BBCBreaking,0.0,"""I am here today not because I want to be. I am terrified. I am here because I believe it is my civic duty to tell… https://t.co/1mIY5lYWdC",15
-0.7351,Wed Sep 26 16:32:23 +0000 2018,0.721,0.279,@BBCBreaking,0.0,The real identity of one of the Salisbury Novichock poisoning suspects is revealed by an investigative website https://t.co/5ySt719D3g,16
0.0,Wed Sep 26 14:55:12 +0000 2018,1.0,0.0,@BBCBreaking,0.0,"China has been attempting to interfere in the mid-term elections in November, President Trump tells UN https://t.co/FkYVJlPMaW",17
-0.0258,Wed Sep 26 13:08:57 +0000 2018,0.783,0.111,@BBCBreaking,0.106,"Suspects in the 1974 Birmingham pub bombings will not be named at fresh inquests, the appeal court rules https://t.co/RqzM3HkGfz",18
-0.8271,Tue Sep 25 18:13:58 +0000 2018,0.688,0.312,@BBCBreaking,0.0,"""Sexually violent predator"" Bill Cosby given three to 10-year jail term for drugging and molesting a woman in 2004 https://t.co/vNPK6YmTfA",19
0.4215,Tue Sep 25 14:50:14 +0000 2018,0.877,0.0,@BBCBreaking,0.123,"""Stronger, safer, richer"": Donald Trump tells UN he has done more in under two years than almost any prior president https://t.co/coDul33Afk",20
0.0,Mon Sep 24 17:24:24 +0000 2018,1.0,0.0,@BBCBreaking,0.0,"Amid concerns about his job, Trump-Russia probe chief Rod Rosenstein has ""extended conversation"" with President Tru… https://t.co/IAXR7JSl1Y",21
0.0,Mon Sep 24 15:11:09 +0000 2018,1.0,0.0,@BBCBreaking,0.0,"Rod Rosenstein, the man overseeing Trump-Russia probe, en route to White House amid reports he will offer to quit https://t.co/3kxi0m3UId",22
0.8395,Sat Sep 22 21:46:29 +0000 2018,0.715,0.0,@BBCBreaking,0.285,"RT @BBCSport: Anthony Joshua wins! 🥊

He’s won by knockout in round 7!

AJ retains his heavyweight titles. 

Live reaction https://t.co/e2u…",23
0.2263,Sat Sep 22 20:09:28 +0000 2018,0.899,0.0,@BBCBreaking,0.101,"Labour should be prepared to back demands for a new Brexit referendum, deputy leader Tom Watson has said. https://t.co/x9EOYEtffe",24
-0.0258,Sat Sep 22 18:48:42 +0000 2018,0.579,0.212,@BBCBreaking,0.208,The woman accusing Supreme Court nominee Brett Kavanaugh of sexual assault agrees to testify against him next week https://t.co/W5RTtIVAwN,25
0.25,Sat Sep 22 18:23:52 +0000 2018,0.67,0.139,@BBCBreaking,0.191,US cable giant wins rare blind auction process set by the UK's Takeover Panel. https://t.co/Lc0sggm0FL,26
-0.5574,Sat Sep 22 12:20:02 +0000 2018,0.783,0.217,@BBCBreaking,0.0,Chas Hodges - one half of the musical duo Chas &amp; Dave - has died https://t.co/sLok83mgNk,27
0.128,Sat Sep 22 11:10:39 +0000 2018,0.797,0.092,@BBCBreaking,0.112,"Man rescued from air pocket in sunken Lake Victoria ferry, two days after it capsized with loss of around 170 lives https://t.co/l5rG7Bsa58",28
-0.875,Sat Sep 22 06:19:09 +0000 2018,0.615,0.385,@BBCBreaking,0.0,"Several people killed in gun attack during Iranian military parade in south-west city of Ahvaz, state media says https://t.co/OweQk7y5Qp",29
0.6542,Fri Sep 21 13:17:13 +0000 2018,0.789,0.0,@BBCBreaking,0.211,"""No-one wants a good deal more than me, but the EU should be clear I will not overturn the result of the referendum… https://t.co/xGM9JxrjiN",30
-0.5106,Fri Sep 21 13:14:06 +0000 2018,0.858,0.142,@BBCBreaking,0.0,"UK PM Theresa May demands new proposals from EU to break Brexit ""impasse"" after Chequers plan rejected by EU leaders https://t.co/4IzVJBIco0",31
0.0,Fri Sep 21 12:02:41 +0000 2018,1.0,0.0,@BBCBreaking,0.0,"UK PM Theresa May to make statement in Downing Street on state of #Brexit negotiations at 13:45 BST

https://t.co/SUQnGZEPKZ",32
-0.3818,Fri Sep 21 07:52:13 +0000 2018,0.852,0.148,@BBCBreaking,0.0,"At least 86 bodies are found after a Tanzanian ferry overturns in Lake Victoria, officials say https://t.co/Pcy3ObgGin",33
0.0,Thu Sep 20 16:10:35 +0000 2018,1.0,0.0,@BBCBreaking,0.0,Multiple deaths and injuries after a shooting at a pharmacy distribution centre in Maryland - US police https://t.co/38OudkxJja,34
-0.4404,Thu Sep 20 14:13:40 +0000 2018,0.873,0.127,@BBCBreaking,0.0,"After criticism of her Chequers plan by EU leaders, Theresa May stands by her #Brexit proposals as ""the only seriou… https://t.co/jAq6ulD1iY",35
0.3612,Thu Sep 20 13:36:45 +0000 2018,0.878,0.0,@BBCBreaking,0.122,"European Council President Donald Tusk says EU leaders agree Theresa May's Chequers plan for #Brexit ""will not work… https://t.co/9Mc9yWQLUJ",36
0.0,Thu Sep 20 12:59:39 +0000 2018,1.0,0.0,@BBCBreaking,0.0,"RT @BBCSport: The suspension of Russia's anti-doping agency (Rusada) has been lifted despite widespread opposition.

Full story: https://t.…",37
0.0772,Wed Sep 19 10:21:14 +0000 2018,0.909,0.0,@BBCBreaking,0.091,Pakistan court orders release of ex-PM Nawaz Sharif and suspends his jail sentence https://t.co/3LqxVQ6F51,38
-0.3612,Wed Sep 19 09:36:38 +0000 2018,0.878,0.122,@BBCBreaking,0.0,"Woman dies after caravan blown off cliff in Galway, Ireland as Storm Ali brings disruption to British Isles https://t.co/wubY4511gO",39
0.0,Wed Sep 19 08:33:35 +0000 2018,1.0,0.0,@BBCBreaking,0.0,"UK inflation rate for August unexpectedly rises to 2.7%, highest in six months https://t.co/GmqT0MuLhi",40
0.5423,Wed Sep 19 02:59:21 +0000 2018,0.769,0.0,@BBCBreaking,0.231,"Moon and Kim hail new future for North and South Korea, signing wide-ranging agreement in Pyongyang https://t.co/QNzHH5gdDP",41
-0.5859,Tue Sep 18 16:12:26 +0000 2018,0.78,0.22,@BBCBreaking,0.0,Germany's spy chief forced out of job over his controversial response to reports of far-right unrest in Chemnitz https://t.co/NUAvqHojSE,42
-0.2023,Tue Sep 18 13:13:51 +0000 2018,0.917,0.083,@BBCBreaking,0.0,"RT @BBCSport: Ben Stokes and Alex Hales have been charged with bringing the game into disrepute by the ECB.

https://t.co/1mH5geVa1O https:…",43
-0.5267,Mon Sep 17 22:41:12 +0000 2018,0.725,0.202,@BBCBreaking,0.073,The US is imposing new tariffs on $200bn (£150bn) worth of Chinese goods as it escalates its trade war with Beijing https://t.co/CjuxgjX23d,44
-0.5574,Mon Sep 17 18:11:18 +0000 2018,0.833,0.167,@BBCBreaking,0.0,Thai cave rescuer Vernon Unsworth sues Elon Musk over his repeated claims the British diver is child abuser https://t.co/wJeixByjo9,45
0.0772,Mon Sep 17 16:42:17 +0000 2018,0.813,0.086,@BBCBreaking,0.1,Russia and Turkey to create buffer zone in Syria's northern Idlib province to separate Syrian forces and rebels https://t.co/1xjM2afBPr,46
